trip_id,load_id,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,trip_status,first_name,last_name,cdl_class,years_experience,make,model_year,fuel_type,status,customer_id,route_id,revenue,booking_type,typical_distance_miles,base_rate_per_mile,fuel_surcharge_rate,customer_name,customer_type
TRIP00000011,LOAD00000011,DRV00132,TRK00085,TRL00083,2022-01-01,538,9.9,72.2,7.45,4.9,Completed,Patricia,Gonzalez,A,24.0,Kenworth,2015.0,Diesel,Active,CUST00127,RTE00058,1206.59,Contract,519,2.27,0.19,Global Group,Spot
TRIP00000012,LOAD00000012,DRV00088,TRK00039,TRL00142,2022-01-01,861,14.3,150.3,5.73,6.7,Completed,Joseph,Garcia,A,16.0,International,2015.0,Diesel,Active,CUST00052,RTE00052,1248.4,Spot,804,1.63,0.34,Metro Corp,Contract
TRIP00000013,LOAD00000013,DRV00070,TRK00086,TRL00119,2022-01-01,689,12.4,112.0,6.15,3.6,Completed,Sarah,Anderson,A,16.0,Freightliner,2015.0,Diesel,Active,CUST00168,RTE00002,1541.78,Dedicated,697,2.08,0.22,Global Foods,Spot
TRIP00000014,LOAD00000014,DRV00009,TRK00052,TRL00021,2022-01-01,2255,35.0,377.1,5.98,8.7,Completed,Karen,Hernandez,A,13.0,Freightliner,2015.0,Diesel,Active,CUST00049,RTE00032,4948.67,Dedicated,2259,1.99,0.2,Continental Corp,Spot
TRIP00000015,LOAD00000015,DRV00071,TRK00120,TRL00132,2022-01-01,684,11.4,92.9,7.36,4.4,Completed,Jessica,Johnson,A,12.0,Volvo,2017.0,Diesel,Active,CUST00089,RTE00006,1286.22,Dedicated,675,2.13,0.28,United Group,Spot
TRIP00000016,LOAD00000016,DRV00036,TRK00054,TRL00048,2022-01-01,97,1.9,14.7,6.62,8.8,Completed,Michael,Thomas,A,21.0,Freightliner,2016.0,Diesel,Active,CUST00032,RTE00015,224.7,Dedicated,92,2.79,0.15,Continental Wholesale,Dedicated
TRIP00000017,LOAD00000017,DRV00094,TRK00049,TRL00171,2022-01-01,1571,25.5,209.7,7.49,2.3,Completed,Mary,Taylor,A,15.0,Peterbilt,2015.0,Diesel,Active,CUST00022,RTE00054,3521.84,Dedicated,1557,2.01,0.19,Continental Supply Chain,Contract
TRIP00000018,LOAD00000018,DRV00125,TRK00080,TRL00004,2022-01-01,1405,25.8,192.5,7.3,5.9,Completed,David,Smith,A,17.0,Volvo,2015.0,Diesel,Active,CUST00093,RTE00038,3622.99,Dedicated,1311,2.71,0.24,United Group,Spot
TRIP00000019,LOAD00000019,DRV00142,TRK00040,TRL00095,2022-01-01,2554,44.7,387.6,6.59,3.7,Completed,John,Thomas,A,15.0,International,2015.0,Diesel,Active,CUST00092,RTE00012,6009.91,Dedicated,2389,2.71,0.19,Elite Group,Dedicated
TRIP00000020,LOAD00000020,DRV00118,TRK00010,TRL00062,2022-01-01,664,10.3,92.6,7.17,8.1,Completed,Susan,Anderson,A,8.0,Volvo,2015.0,Diesel,Active,CUST00029,RTE00001,1070.73,Dedicated,677,1.7,0.19,Superior Distribution,Dedicated
TRIP00000021,LOAD00000021,DRV00066,TRK00058,TRL00151,2022-01-01,2800,48.0,443.0,6.32,6.1,Completed,William,Wilson,A,18.0,Mack,2015.0,Diesel,Active,CUST00047,RTE00042,6543.53,Contract,2623,2.39,0.18,Elite Industries,Spot
TRIP00000022,LOAD00000022,DRV00114,TRK00078,TRL00061,2022-01-01,883,14.6,154.1,5.73,9.7,Completed,Thomas,Wilson,A,3.0,Freightliner,2015.0,Diesel,Active,CUST00018,RTE00009,1754.79,Contract,878,1.95,0.17,ABC Retail,Dedicated
TRIP00000023,LOAD00000023,DRV00117,TRK00026,TRL00027,2022-01-01,2495,46.4,379.8,6.57,9.8,Completed,Patricia,Moore,A,11.0,International,2021.0,Diesel,Active,CUST00007,RTE00048,5546.99,Dedicated,2332,2.69,0.34,Superior Distribution,Spot
TRIP00000024,LOAD00000024,DRV00082,TRK00001,TRL00081,2022-01-01,1272,19.9,200.9,6.33,3.9,Completed,Michael,Anderson,A,7.0,Peterbilt,2016.0,Diesel,Active,CUST00041,RTE00035,1947.42,Contract,1229,1.69,0.28,XYZ Industries,Dedicated
TRIP00000025,LOAD00000025,DRV00053,TRK00018,TRL00024,2022-01-01,2415,41.3,372.1,6.49,9.7,Completed,John,Martin,A,2.0,International,2015.0,Diesel,Active,CUST00036,RTE00034,4479.29,Dedicated,2332,2.12,0.34,National Retail,Spot
TRIP00000026,LOAD00000026,DRV00102,TRK00076,TRL00163,2022-01-01,564,9.4,92.2,6.12,3.1,Completed,Elizabeth,Rodriguez,A,11.0,Kenworth,2015.0,Diesel,Active,CUST00033,RTE00022,1091.98,Contract,557,1.95,0.29,XYZ Foods,Contract
TRIP00000027,LOAD00000027,DRV00050,TRK00019,TRL00055,2022-01-01,522,8.3,82.9,6.3,6.6,Completed,Robert,Johnson,A,11.0,International,2015.0,Diesel,Active,CUST00065,RTE00058,1195.13,Spot,519,2.27,0.19,United Retail,Dedicated
TRIP00000028,LOAD00000028,DRV00114,TRK00111,TRL00067,2022-01-01,1979,34.2,333.2,5.94,4.3,Completed,Thomas,Wilson,A,3.0,Kenworth,2015.0,Diesel,Active,CUST00073,RTE00004,4096.78,Dedicated,2017,1.84,0.19,Pacific Supply Chain,Dedicated
TRIP00000029,LOAD00000029,DRV00139,TRK00024,TRL00039,2022-01-01,2006,32.7,268.5,7.47,2.0,Completed,Sarah,Davis,A,14.0,Volvo,2015.0,Diesel,Active,CUST00055,RTE00026,2985.66,Spot,1984,1.72,0.28,National Corp,Contract
TRIP00000030,LOAD00000030,DRV00088,TRK00076,TRL00088,2022-01-01,91,1.6,16.0,5.7,9.7,Completed,Joseph,Garcia,A,16.0,Kenworth,2015.0,Diesel,Active,CUST00136,RTE00010,166.6,Contract,92,1.61,0.17,Pacific Corp,Contract
TRIP00000031,LOAD00000031,DRV00036,TRK00071,TRL00136,2022-01-01,2615,48.0,418.4,6.25,10.6,Completed,Michael,Thomas,A,21.0,Mack,2017.0,Diesel,Active,CUST00135,RTE00042,5386.12,Dedicated,2623,2.39,0.18,Premier Retail,Dedicated
TRIP00000032,LOAD00000032,DRV00085,TRK00069,TRL00174,2022-01-01,700,11.9,106.5,6.57,6.6,Completed,Linda,Wilson,A,23.0,Mack,2016.0,Diesel,Active,CUST00076,RTE00006,1241.88,Spot,675,2.13,0.28,Metro Wholesale,Spot
TRIP00000033,LOAD00000033,DRV00083,TRK00064,TRL00153,2022-01-01,176,3.2,24.8,7.11,6.1,Completed,Patricia,Martin,A,21.0,Kenworth,2020.0,Diesel,Active,CUST00029,RTE00033,397.65,Dedicated,167,2.42,0.24,Superior Distribution,Dedicated
TRIP00000034,LOAD00000034,DRV00053,TRK00054,TRL00084,2022-01-01,2464,40.9,393.6,6.26,11.9,Completed,John,Martin,A,2.0,Freightliner,2016.0,Diesel,Active,CUST00079,RTE00034,5336.08,Contract,2332,2.12,0.34,Pacific Logistics,Spot
TRIP00000035,LOAD00000035,DRV00113,TRK00009,TRL00100,2022-01-01,2054,32.7,301.6,6.81,5.1,Completed,Mary,Williams,A,21.0,International,2015.0,Diesel,Active,CUST00016,RTE00026,3333.54,Dedicated,1984,1.72,0.28,United Industries,Dedicated
TRIP00000036,LOAD00000036,DRV00124,TRK00038,TRL00083,2022-01-01,2285,42.8,344.1,6.64,6.9,Completed,Thomas,Jackson,A,2.0,International,2015.0,Diesel,Active,CUST00081,RTE00020,4255.48,Spot,2172,1.77,0.34,ABC Wholesale,Spot
TRIP00000037,LOAD00000037,DRV00018,TRK00085,TRL00097,2022-01-01,1535,26.5,250.0,6.14,10.9,Completed,Patricia,Martin,A,5.0,Kenworth,2015.0,Diesel,Active,CUST00102,RTE00055,3648.12,Dedicated,1429,2.51,0.25,Pacific Industries,Dedicated
TRIP00000038,LOAD00000038,DRV00033,TRK00089,TRL00024,2022-01-01,598,9.6,95.8,6.24,11.0,Completed,William,Anderson,A,9.0,International,2019.0,Diesel,Active,CUST00119,RTE00022,1144.42,Spot,557,1.95,0.29,ABC Manufacturing,Contract
TRIP00000039,LOAD00000039,DRV00112,TRK00062,TRL00067,2022-01-01,3143,57.7,560.2,5.61,6.5,Completed,Jennifer,Miller,A,14.0,Mack,2017.0,Diesel,Active,CUST00044,RTE00025,5362.03,Dedicated,3141,1.65,0.18,American Logistics,Contract
TRIP00000040,LOAD00000040,DRV00044,TRK00001,TRL00120,2022-01-01,2835,45.5,400.4,7.08,7.0,Completed,Richard,Davis,A,24.0,Peterbilt,2016.0,Diesel,Active,CUST00114,RTE00016,6049.16,Dedicated,2729,2.5,0.17,Premier Manufacturing,Contract
TRIP00000041,LOAD00000041,DRV00124,TRK00020,TRL00055,2022-01-01,1627,32.0,222.0,7.33,6.7,Completed,Thomas,Jackson,A,2.0,Kenworth,2015.0,Diesel,Active,CUST00017,RTE00007,4409.48,Dedicated,1576,2.54,0.32,Superior Supply Chain,Dedicated
TRIP00000042,LOAD00000042,DRV00020,TRK00089,TRL00069,2022-01-01,164,3.1,24.8,6.61,11.5,Completed,Joseph,Martinez,A,18.0,International,2019.0,Diesel,Active,CUST00027,RTE00033,380.59,Dedicated,167,2.42,0.24,Superior Foods,Spot
TRIP00000043,LOAD00000043,DRV00026,TRK00010,TRL00168,2022-01-01,2583,48.6,467.9,5.52,11.7,Completed,Charles,Miller,A,5.0,Volvo,2015.0,Diesel,Active,CUST00185,RTE00042,7166.34,Dedicated,2623,2.39,0.18,Premier Industries,Contract
TRIP00000044,LOAD00000044,DRV00102,TRK00079,TRL00048,2022-01-01,1796,34.8,326.0,5.51,7.8,Completed,Elizabeth,Rodriguez,A,11.0,Mack,2015.0,Diesel,Active,CUST00190,RTE00056,4320.1,Dedicated,1718,2.47,0.18,Global Wholesale,Dedicated
TRIP00000045,LOAD00000045,DRV00117,TRK00061,TRL00070,2022-01-01,658,11.4,89.9,7.32,6.9,Completed,Patricia,Moore,A,11.0,International,2018.0,Diesel,Active,CUST00060,RTE00031,1397.3,Dedicated,640,2.19,0.29,Global Wholesale,Spot
TRIP00000046,LOAD00000046,DRV00020,TRK00007,TRL00031,2022-01-01,176,3.0,29.6,5.95,9.9,Completed,Joseph,Martinez,A,18.0,Volvo,2019.0,Diesel,Active,CUST00038,RTE00033,349.73,Contract,167,2.42,0.24,Continental Supply Chain,Dedicated
TRIP00000047,LOAD00000047,DRV00023,TRK00015,TRL00034,2022-01-01,2159,34.7,290.6,7.43,5.1,Completed,David,Smith,A,23.0,International,2015.0,Diesel,Active,CUST00109,RTE00020,3834.6,Contract,2172,1.77,0.34,Global Manufacturing,Contract
TRIP00000048,LOAD00000048,DRV00085,TRK00058,TRL00048,2022-01-01,818,16.3,110.7,7.39,2.7,Completed,Linda,Wilson,A,23.0,Mack,2015.0,Diesel,Active,CUST00185,RTE00053,1820.31,Spot,777,2.35,0.27,Premier Industries,Contract
TRIP00000049,LOAD00000049,DRV00089,TRK00090,TRL00117,2022-01-01,1304,23.8,177.9,7.33,3.1,Completed,David,Thomas,A,23.0,Volvo,2017.0,Diesel,Active,CUST00003,RTE00041,2970.83,Dedicated,1216,2.75,0.21,XYZ Industries,Contract
TRIP00000050,LOAD00000050,DRV00148,TRK00050,TRL00086,2022-01-01,266,4.5,39.1,6.81,8.8,Completed,Patricia,Anderson,A,15.0,Peterbilt,2015.0,Diesel,Active,CUST00137,RTE00036,586.48,Dedicated,262,2.63,0.33,First Industries,Dedicated
TRIP00000051,LOAD00000051,DRV00134,TRK00026,TRL00168,2022-01-01,788,13.3,121.0,6.51,6.7,Completed,Linda,Moore,A,18.0,International,2021.0,Diesel,Active,CUST00114,RTE00053,1908.52,Contract,777,2.35,0.27,Premier Manufacturing,Contract
TRIP00000052,LOAD00000052,DRV00065,TRK00004,TRL00061,2022-01-01,1614,31.5,255.8,6.31,4.6,Completed,Robert,Brown,A,25.0,Freightliner,2015.0,Diesel,Active,CUST00065,RTE00043,2709.18,Spot,1559,1.55,0.16,United Retail,Dedicated
TRIP00000053,LOAD00000053,DRV00148,TRK00024,TRL00149,2022-01-01,764,14.8,121.9,6.27,8.3,Completed,Patricia,Anderson,A,15.0,Volvo,2015.0,Diesel,Active,CUST00039,RTE00053,1772.1,Dedicated,777,2.35,0.27,XYZ Wholesale,Contract
TRIP00000054,LOAD00000054,DRV00047,TRK00063,TRL00005,2022-01-01,598,9.7,80.2,7.46,4.6,Completed,Elizabeth,Miller,A,7.0,Peterbilt,2015.0,Diesel,Active,CUST00101,RTE00045,1558.56,Contract,597,2.33,0.23,United Corp,Contract
TRIP00000055,LOAD00000055,DRV00085,TRK00004,TRL00054,2022-01-01,2615,40.9,386.8,6.76,10.6,Completed,Linda,Wilson,A,23.0,Freightliner,2015.0,Diesel,Active,CUST00030,RTE00042,6217.14,Dedicated,2623,2.39,0.18,ABC Manufacturing,Spot
TRIP00000056,LOAD00000056,DRV00126,TRK00015,TRL00064,2022-01-01,1216,24.0,196.8,6.18,7.3,Completed,Sarah,Jackson,A,25.0,International,2015.0,Diesel,Active,CUST00115,RTE00035,1961.75,Spot,1229,1.69,0.28,Global Corp,Dedicated
TRIP00000057,LOAD00000057,DRV00001,TRK00073,TRL00097,2022-01-01,1961,33.9,290.9,6.74,4.9,Completed,Jennifer,Hernandez,A,3.0,Mack,2016.0,Diesel,Active,CUST00018,RTE00051,3290.19,Dedicated,1840,1.85,0.25,ABC Retail,Dedicated
TRIP00000058,LOAD00000058,DRV00121,TRK00030,TRL00170,2022-01-01,806,13.1,123.2,6.54,4.6,Completed,Mary,Miller,A,11.0,Volvo,2015.0,Diesel,Active,CUST00181,RTE00008,2008.44,Dedicated,762,2.62,0.15,Superior Group,Contract
TRIP00000059,LOAD00000059,DRV00108,TRK00090,TRL00072,2022-01-01,1788,27.7,267.7,6.68,3.6,Completed,Joseph,Jones,A,23.0,Volvo,2017.0,Diesel,Active,CUST00156,RTE00056,4010.78,Contract,1718,2.47,0.18,First Logistics,Dedicated
TRIP00000060,LOAD00000060,DRV00041,TRK00054,TRL00142,2022-01-01,681,10.6,92.8,7.34,4.6,Completed,Karen,Martin,A,2.0,Freightliner,2016.0,Diesel,Active,CUST00169,RTE00031,1284.96,Contract,640,2.19,0.29,First Distribution,Dedicated
TRIP00000061,LOAD00000061,DRV00114,TRK00009,TRL00171,2022-01-01,1351,21.4,208.5,6.48,2.8,Completed,Thomas,Wilson,A,3.0,International,2015.0,Diesel,Active,CUST00028,RTE00038,3035.92,Contract,1311,2.71,0.24,First Group,Contract
TRIP00000062,LOAD00000062,DRV00104,TRK00002,TRL00010,2022-01-01,2483,41.3,426.6,5.82,2.2,Completed,Richard,Hernandez,A,23.0,Kenworth,2015.0,Diesel,Active,CUST00071,RTE00012,6224.98,Dedicated,2389,2.71,0.19,Continental Supply Chain,Spot
TRIP00000063,LOAD00000063,DRV00079,TRK00115,TRL00103,2022-01-01,787,12.9,118.0,6.67,5.4,Completed,Patricia,Moore,A,4.0,Peterbilt,2015.0,Diesel,Active,CUST00170,RTE00008,2294.59,Contract,762,2.62,0.15,Elite Retail,Contract
TRIP00000064,LOAD00000064,DRV00050,TRK00043,TRL00152,2022-01-01,2197,41.0,313.4,7.01,11.6,Completed,Robert,Johnson,A,11.0,Freightliner,2019.0,Diesel,Active,CUST00070,RTE00030,5773.26,Dedicated,2147,2.48,0.33,First Group,Spot
TRIP00000065,LOAD00000065,DRV00003,TRK00082,TRL00023,2022-01-01,598,10.8,89.9,6.65,10.9,Completed,Charles,Hernandez,A,19.0,Peterbilt,2015.0,Diesel,Active,CUST00084,RTE00022,976.39,Contract,557,1.95,0.29,United Foods,Dedicated
TRIP00000066,LOAD00000066,DRV00124,TRK00050,TRL00127,2022-01-01,1105,21.1,168.4,6.56,7.5,Completed,Thomas,Jackson,A,2.0,Peterbilt,2015.0,Diesel,Active,CUST00169,RTE00039,2288.24,Contract,1044,2.08,0.33,First Distribution,Dedicated
TRIP00000067,LOAD00000067,,TRK00112,TRL00040,2022-01-01,2433,40.0,427.6,5.69,9.2,Completed,,,,,Volvo,2016.0,Diesel,Active,CUST00137,RTE00046,5742.86,Dedicated,2269,2.74,0.22,First Industries,Dedicated
TRIP00000068,LOAD00000068,DRV00083,TRK00091,TRL00131,2022-01-01,1308,22.5,233.6,5.6,5.8,Completed,Patricia,Martin,A,21.0,International,2015.0,Diesel,Active,CUST00022,RTE00023,2948.24,Dedicated,1276,2.33,0.17,Continental Supply Chain,Contract
TRIP00000069,LOAD00000069,DRV00066,TRK00092,TRL00093,2022-01-01,2119,41.5,328.5,6.45,4.1,Completed,William,Wilson,A,18.0,Volvo,2015.0,Diesel,Active,CUST00095,RTE00026,2969.62,Dedicated,1984,1.72,0.28,First Foods,Contract
TRIP00000070,LOAD00000070,DRV00077,,TRL00040,2022-01-01,711,14.2,105.5,6.74,9.7,Completed,Patricia,Anderson,A,20.0,,,,,CUST00091,RTE00013,1182.65,Contract,673,1.7,0.21,American Distribution,Contract
TRIP00000071,LOAD00000071,DRV00147,TRK00013,TRL00162,2022-01-01,708,12.5,117.8,6.01,3.5,Completed,Richard,Garcia,A,20.0,Volvo,2018.0,Diesel,Active,CUST00036,RTE00006,1621.31,Dedicated,675,2.13,0.28,National Retail,Spot
TRIP00000072,LOAD00000072,DRV00092,TRK00108,TRL00095,2022-01-02,2686,43.0,444.7,6.04,10.2,Completed,James,Davis,A,21.0,Volvo,2015.0,Diesel,Active,CUST00166,RTE00037,3709.21,Dedicated,2561,1.52,0.21,ABC Distribution,Dedicated
TRIP00000073,LOAD00000073,DRV00055,TRK00025,TRL00105,2022-01-02,2322,38.0,384.4,6.04,8.7,Completed,Mary,Anderson,A,6.0,Freightliner,2018.0,Diesel,Active,CUST00038,RTE00032,5103.24,Contract,2259,1.99,0.2,Continental Supply Chain,Dedicated
TRIP00000074,LOAD00000074,DRV00051,,TRL00141,2022-01-02,2937,51.6,428.8,6.85,9.7,Completed,Linda,Davis,A,12.0,,,,,CUST00139,RTE00016,6266.36,Spot,2729,2.5,0.17,XYZ Supply Chain,Dedicated
TRIP00000075,LOAD00000075,DRV00041,TRK00008,TRL00113,2022-01-02,2225,39.9,330.6,6.73,9.7,Completed,Karen,Martin,A,2.0,Mack,2015.0,Diesel,Active,CUST00070,RTE00028,4476.08,Dedicated,2172,1.89,0.26,First Group,Spot
TRIP00000076,LOAD00000076,DRV00129,TRK00048,TRL00092,2022-01-02,751,12.6,109.2,6.88,4.0,Completed,Michael,Smith,A,6.0,Volvo,2015.0,Diesel,Active,CUST00177,RTE00050,1193.23,Spot,712,1.94,0.24,First Logistics,Contract
TRIP00000077,LOAD00000077,DRV00037,TRK00025,TRL00033,2022-01-02,485,9.1,75.5,6.42,10.9,Completed,Jessica,Garcia,A,21.0,Freightliner,2018.0,Diesel,Active,CUST00105,RTE00047,926.86,Dedicated,476,2.06,0.16,First Corp,Spot
TRIP00000078,LOAD00000078,DRV00110,TRK00098,TRL00178,2022-01-02,272,4.7,38.6,7.04,3.0,Completed,James,Gonzalez,A,3.0,Peterbilt,2018.0,Diesel,Active,CUST00060,RTE00036,723.75,Dedicated,262,2.63,0.33,Global Wholesale,Spot
TRIP00000079,LOAD00000079,DRV00014,TRK00051,TRL00014,2022-01-02,1283,21.0,231.6,5.54,5.5,Completed,Richard,Miller,A,11.0,Mack,2016.0,Diesel,Active,CUST00164,RTE00023,2557.47,Dedicated,1276,2.33,0.17,ABC Industries,Spot
TRIP00000080,LOAD00000080,DRV00053,TRK00067,TRL00112,2022-01-02,165,3.1,25.2,6.56,5.3,Completed,John,Martin,A,2.0,International,2015.0,Diesel,Active,CUST00044,RTE00033,422.11,Spot,167,2.42,0.24,American Logistics,Contract
TRIP00000081,LOAD00000081,DRV00124,TRK00052,TRL00138,2022-01-02,1736,31.5,304.0,5.71,8.7,Completed,Thomas,Jackson,A,2.0,Freightliner,2015.0,Diesel,Active,CUST00073,RTE00005,4776.23,Dedicated,1749,2.41,0.26,Pacific Supply Chain,Dedicated
TRIP00000082,LOAD00000082,DRV00060,TRK00061,TRL00158,2022-01-02,848,16.8,113.8,7.45,8.4,Completed,Jessica,Thomas,A,6.0,International,2018.0,Diesel,Active,CUST00030,RTE00052,1367.63,Dedicated,804,1.63,0.34,ABC Manufacturing,Spot
TRIP00000083,LOAD00000083,DRV00013,TRK00059,TRL00117,2022-01-02,2689,43.8,373.0,7.21,4.3,Completed,Jessica,Jones,A,3.0,Mack,2015.0,Diesel,Active,CUST00039,RTE00042,6406.92,Spot,2623,2.39,0.18,XYZ Wholesale,Contract
TRIP00000084,LOAD00000084,DRV00039,TRK00014,TRL00144,2022-01-02,698,13.4,116.1,6.01,4.5,Completed,Thomas,Martinez,A,22.0,International,2015.0,Diesel,Active,CUST00175,RTE00001,1098.31,Spot,677,1.7,0.19,ABC Wholesale,Spot
TRIP00000085,LOAD00000085,DRV00035,TRK00120,TRL00081,2022-01-02,1227,22.1,173.6,7.07,6.8,Completed,Michael,Taylor,A,19.0,Volvo,2017.0,Diesel,Active,CUST00116,RTE00024,3304.91,Dedicated,1175,2.48,0.32,Premier Logistics,Spot
TRIP00000086,LOAD00000086,DRV00121,TRK00112,TRL00087,2022-01-02,2150,33.2,302.0,7.12,3.8,Completed,Mary,Miller,A,11.0,Volvo,2016.0,Diesel,Active,CUST00061,RTE00021,5554.06,Dedicated,2108,2.45,0.28,Elite Group,Spot
TRIP00000087,LOAD00000087,DRV00141,TRK00096,TRL00074,2022-01-02,571,8.9,88.1,6.48,5.1,Completed,Thomas,Wilson,A,3.0,Kenworth,2018.0,Diesel,Active,CUST00078,RTE00022,1212.18,Dedicated,557,1.95,0.29,Premier Wholesale,Spot
TRIP00000088,LOAD00000088,DRV00078,,TRL00072,2022-01-02,864,14.5,127.8,6.76,12.0,Completed,John,Taylor,A,21.0,,,,,CUST00039,RTE00052,1410.62,Dedicated,804,1.63,0.34,XYZ Wholesale,Contract
TRIP00000089,LOAD00000089,DRV00110,TRK00064,TRL00176,2022-01-02,689,12.6,102.7,6.71,10.3,Completed,James,Gonzalez,A,3.0,Kenworth,2020.0,Diesel,Active,CUST00071,RTE00002,1444.9,Dedicated,697,2.08,0.22,Continental Supply Chain,Spot
TRIP00000090,LOAD00000090,DRV00049,TRK00072,TRL00152,2022-01-02,2318,41.9,347.0,6.68,5.5,Completed,John,Smith,A,24.0,Volvo,2017.0,Diesel,Active,CUST00032,RTE00046,5287.59,Contract,2269,2.74,0.22,Continental Wholesale,Dedicated
TRIP00000091,LOAD00000091,DRV00033,TRK00112,TRL00002,2022-01-02,2323,39.1,322.6,7.2,10.9,Completed,William,Anderson,A,9.0,Volvo,2016.0,Diesel,Active,CUST00045,RTE00020,3760.32,Spot,2172,1.77,0.34,First Logistics,Dedicated
TRIP00000092,LOAD00000092,DRV00054,TRK00050,TRL00056,2022-01-02,543,9.4,83.4,6.51,11.0,Completed,James,Williams,A,7.0,Peterbilt,2015.0,Diesel,Active,CUST00194,RTE00058,1106.05,Spot,519,2.27,0.19,ABC Group,Spot
TRIP00000093,LOAD00000093,DRV00020,TRK00059,TRL00168,2022-01-02,699,13.9,100.0,6.99,6.0,Completed,Joseph,Martinez,A,18.0,Mack,2015.0,Diesel,Active,CUST00012,RTE00013,1157.22,Contract,673,1.7,0.21,ABC Distribution,Dedicated
TRIP00000094,LOAD00000094,DRV00141,TRK00033,TRL00096,2022-01-02,1361,21.9,188.2,7.23,4.9,Completed,Thomas,Wilson,A,3.0,Mack,2015.0,Diesel,Active,CUST00030,RTE00023,2947.63,Contract,1276,2.33,0.17,ABC Manufacturing,Spot
TRIP00000095,LOAD00000095,DRV00060,TRK00099,TRL00167,2022-01-02,1250,20.3,215.5,5.8,5.8,Completed,Jessica,Thomas,A,6.0,Freightliner,2015.0,Diesel,Active,CUST00113,RTE00024,3237.58,Dedicated,1175,2.48,0.32,Premier Group,Spot
TRIP00000096,LOAD00000096,DRV00030,TRK00090,TRL00023,2022-01-02,1991,38.6,338.0,5.89,10.6,Completed,Jessica,Hernandez,A,5.0,Volvo,2017.0,Diesel,Active,CUST00121,RTE00026,3712.06,Dedicated,1984,1.72,0.28,ABC Corp,Spot
TRIP00000097,LOAD00000097,DRV00150,TRK00057,TRL00153,2022-01-02,1410,25.5,241.9,5.83,11.0,Completed,Robert,Martin,A,14.0,Mack,2015.0,Diesel,Active,CUST00166,RTE00055,3886.42,Dedicated,1429,2.51,0.25,ABC Distribution,Dedicated
